wine,winery,vintage_year,vintage_rating,vintage_rating_count,price_availability,structure_acidity,structure_intensity,structure_sweetness,structure_tannin,region,grapes
Les Restanques de Pibarnon,Château de Pibarnon,2020.0,4.1,30,40.2,3.0,4.0,1.5,4.0,bandol,"[(1, 'shiraz-syrah'), (2, 'cabernet-sauvignon'), (8, 'grenache-noir'), (22, 'mourvedre'), (41, 'carignane'), (583, 'tibouren'), (614, 'cinsaut')]"
Marsannay 'Clos du Roy',Domaine Bart,2022.0,4.1,191,68.05,4.5,3.0,1.0,2.5,marsannay,"[(14, 'pinot-noir')]"
Mercurey,Bouchard Aîné & Fils,1985.0,3.5,435,50.0,4.0,2.0,1.0,2.0,mercurey,"[(14, 'pinot-noir')]"
Château Sacré Coeur Pomerol,Jean-Philippe Janoueix,2016.0,4.2,103,50.9,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Échezeaux Grand Cru,Domaine Coquard Loison-Fleurot,2021.0,4.4,748,447.73,4.5,3.0,1.0,2.5,echezeaux,"[(14, 'pinot-noir')]"
Beaune 1er Cru Theurons,Domaine des Héritiers Louis Jadot,2016.0,4.2,78,39.0,4.0,2.5,1.0,2.0,beaune-premier-cru,"[(14, 'pinot-noir')]"
Pessac-Léognan (Grand Cru Classé de Graves),Domaine de Chevalier,2006.0,4.2,1282,139.44,4.5,4.5,1.0,5.0,pessac-leognan,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Mourvèdre,Mas Laval,2024.0,3.6,34,12.0,4.0,4.0,1.0,4.0,pays-dherault,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
San Giovanni,Antoine-Marie Arena,2017.0,3.7,33,73.53,3.5,3.0,1.0,4.0,vin-de-pays-vignobles-de-france,Unknown
Chambertin Grand Cru,Pierre Damoy,2013.0,4.3,422,360.07,4.5,3.0,1.0,2.5,chambertin,"[(14, 'pinot-noir')]"
Fongeant Côte-Rôtie,Michel & Stéphane Ogier,2012.0,4.3,92,227.83,4.0,4.5,1.0,4.5,cote-rotie,"[(1, 'shiraz-syrah'), (20, 'viognier')]"
Bandol,Château de Pibarnon,2024.0,4.1,14614,38.67,3.0,4.0,1.5,4.0,bandol,"[(1, 'shiraz-syrah'), (2, 'cabernet-sauvignon'), (8, 'grenache-noir'), (22, 'mourvedre'), (41, 'carignane'), (583, 'tibouren'), (614, 'cinsaut')]"
Le Clos du Prieuré Hautes-Côtes de Nuits,Thibault Liger-Belair,2022.0,4.0,776,36.52,4.0,2.5,1.0,2.0,bourgogne-hautes-cotes-de-nuits,"[(14, 'pinot-noir')]"
Merlot,Domaine de Bachellery,2023.0,3.5,164,7.5,4.0,4.0,1.0,4.0,languedoc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Graves Rouge,Château Puy Boyrein,2021.0,3.7,215,12.0,4.5,4.5,1.0,5.0,graves,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Château Arrogant Frog Rouge,Arrogant Frog,2022.0,3.9,37,19.87,4.0,4.0,1.0,4.0,limoux,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Rasteau Les Valats,Alain Jaume,2023.0,3.8,745,18.8,3.5,4.0,1.0,3.5,rasteau,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
