wine,winery,vintage_year,vintage_rating,vintage_rating_count,price_availability,structure_acidity,structure_intensity,structure_sweetness,structure_tannin,region,grapes
Corton-Perrières Grand Cru,Domaine Dubreuil-Fontaine,2020,4.1,211,123.65,4.0,2.5,1.0,2.0,corton-les-perrieres,"[(14, 'pinot-noir')]"
Nuits-Saint-Georges 1er Cru 'Aux Boudots',Méo-Camuzet,2020,4.4,1271,166.67,4.5,3.0,1.0,2.5,nuits-saint-georges-aux-boudots,"[(14, 'pinot-noir')]"
Domaine des Tourettes Hermitage Rouge,Delas,2010,4.2,290,75.0,3.5,5.0,1.0,4.5,hermitage,"[(1, 'shiraz-syrah')]"
Les Vérillats Moulin-à-Vent,Domaine de Vernus,2020,4.0,36,61.5,5.0,1.0,1.0,1.5,moulin-a-vent,"[(80, 'gamay')]"
Fleurie,Domaine de Vernus,2021,4.0,250,30.69,5.0,1.0,1.0,1.5,fleurie,"[(80, 'gamay')]"
Ploussard Viandris Arbois Pupillin,Cellier Saint Benoit,2022,4.0,59,75.0,4.5,3.0,1.5,3.0,arbois-pupillin,"[(14, 'pinot-noir'), (174, 'trousseau'), (1374, 'poulsard')]"
Bergerac Rouge,Château Bélingard,2016,3.4,123,8.1,4.5,4.5,1.5,4.0,bergerac,Unknown
Gevrey-Chambertin 1er Cru 'Lavaux St Jacques',Dugat-Py,2019,4.3,148,390.4,4.5,3.0,1.0,2.5,gevrey-chambertin-lavaut-st-jacques,"[(14, 'pinot-noir')]"
Merlot,La Cour des Dames,2023,3.5,582,7.8,4.0,4.0,1.0,4.0,vin-de-pays-doc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Bourgogne,Domaine Bernard Thierry Glantenay,2015,3.9,57,24.16,4.0,2.5,1.0,2.0,bourgogne,"[(14, 'pinot-noir')]"
Saint-Émilion Grand Cru (Grand Cru Classé),Château Bellevue,2011,3.9,241,69.27,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Émilion Grand Cru,Château Les Gravières,2019,4.1,87,36.9,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Couleurs Réunies,Mas Coutelou,2022,3.9,419,15.5,4.0,4.0,1.0,4.0,languedoc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Beaune Champs-Pimont 1er Cru Rouge,Domaine Jacques Prieur,2019,4.3,47,66.87,4.0,2.5,1.0,2.0,beaune-premier-cru,"[(14, 'pinot-noir')]"
Auxey-Duresses Les Clous,Rodolphe Demougeot,2021,4.0,224,68.74,4.0,2.5,1.0,2.0,auxey-duresses,"[(14, 'pinot-noir')]"
Les Rochins Côte-Rôtie,Patrick et Christophe Bonnefond,2018,4.3,39,59.08,4.0,4.5,1.0,4.5,cote-rotie,"[(1, 'shiraz-syrah'), (20, 'viognier')]"
Crozes-Hermitage La Mutine,Domaine Philippe et Vincent Jaboulet,2018,3.8,40,29.39,3.0,4.0,1.0,3.5,crozes-hermitage,"[(1, 'shiraz-syrah')]"
Vosne-Romanée 1er Cru 'Les Chaumes',Jérôme Chézeaux,2021,4.1,302,94.07,4.5,3.0,1.0,2.5,vosne-romanee-les-chaumes,"[(14, 'pinot-noir')]"
Château Ballan Larquette Prestige,Vignobles Chaigne et Fils,2018,4.1,61,16.06,4.0,4.0,1.0,4.0,bordeaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
